"ID","Predicted Monthly Income"
871,5545.40496099141
872,2749.28335648718
873,13105.1629998491
874,2739.67109577286
875,2810.27798090837
876,5246.00683994528
877,5608.11773398548
878,2633.76076806959
879,2899.75109233905
880,13781.3207345416
881,10109.1936428462
882,2810.27798090837
883,5482.69218799734
884,5419.97941500326
885,5733.54327997363
886,5358.6814426704
887,5927.15434085376
888,5596.29090566065
889,4336.69581146392
890,2673.27266134882
891,5167.28593328703
892,8917.65095595876
893,8917.65095595876
894,5482.69218799734
895,10029.243035921
896,9213.5868941206
897,9043.07650194691
898,16017.7300647005
899,5733.54327997363
900,2779.37690365755
901,2774.97453834061
902,5796.2560529677
903,6235.24546392622
904,2845.58142347613
905,16234.4025229387
906,5357.26664200919
907,9477.79857435453
908,5675.49405999073
909,2633.76076806959
910,2628.90916780568
911,19328.2968187609
912,2676.93739424706
913,2810.27798090837
914,12655.3367249014
915,5675.49405999073
916,4160.17859862514
917,2689.09626214643
918,5419.97941500326
919,2373.42629274964
920,2986.79519374715
921,2518.51999999998
922,2598.45732550183
923,4301.39236889616
924,5437.20558375638
925,16667.747439415
926,2916.18830861164
927,5733.54327997363
928,12991.3958634821
929,2598.45732550183
930,2845.58142347613
931,6047.107144944
932,12687.9621784644
933,8980.36372895283
934,2669.06421063734
935,2598.45732550183
936,2704.3676532051
937,9202.07634357128
938,9688.8058201011
939,5438.1278578204
940,2373.42629274964
941,3092.70552145042
942,9043.07650194691
943,10109.1936428462
944,5358.6814426704
945,2325.06172366619
946,5582.5015523747
947,2373.42629274964
948,2689.09626214643
949,2680.60212714529
950,5608.11773398548
951,2899.75109233905
952,5608.11773398548
953,5720.36266776632
954,2774.97453834061
955,4301.39236889616
956,8182.81484167275
957,11193.6657523727
958,2916.18830861164
959,9670.20423188764
960,19783.4473462875
961,2779.37690365755
962,5167.28593328703
963,6065.01545624538
964,5444.53504955285
965,2659.00271497606
966,19449.670292768
967,2749.28335648718
968,8980.36372895283
969,16494.4094728245
970,2739.67109577286
971,5545.40496099141
972,5858.22378315795
973,2739.67109577286
974,2628.90916780568
975,5437.88459700049
976,2719.18980931681
977,6478.59880242025
978,2779.37690365755
979,9609.60266577102
980,19163.4509462615
981,2615.24913816688
982,9293.9275939232
983,2774.97453834061
984,2566.88456908343
985,5608.11773398548
986,2839.5639979983
987,2628.90916780568
988,5545.40496099141
989,9926.41528309135
990,2689.09626214643
991,5448.19978245108
992,2749.28335648718
993,5444.53504955285
994,5419.97941500326
995,5482.69218799734
996,5377.94076347966
997,2689.09626214643
998,16357.0782363831
999,9105.78927494098
1000,2598.45732550183
1001,5459.19398114579
1002,4568.90287277701
1003,5197.37948045741
1004,6625.93191195173
1005,2899.75109233905
1006,5670.83050697956
1007,2421.79086183309
1008,5858.22378315795
1009,19293.4544212044
1010,4955.81942544459
1011,9609.60266577102
1012,5257.56657479816
1013,5921.68159895585
1014,4371.99925403168
1015,5670.83050697956
1016,2845.58142347613
1017,2916.18830861164
1018,8980.36372895283
1019,9105.78927494098
1020,2598.81562063531
1021,5670.83050697956
1022,5545.40496099141
1023,5107.09883894628
1024,9753.52080513777
1025,16017.7300647005
1026,19076.7819629663
1027,5433.54085085814
1028,5419.97941500326
1029,5357.26664200919
1030,8237.78583514628
1031,5357.26664200919
1032,2687.93159294176
1033,12657.6188099626
1034,2628.90916780568
1035,4371.99925403168
1036,2628.90916780568
1037,5482.69218799734
1038,8208.4679719604
1039,12657.6188099626
1040,5927.15434085376
1041,2774.97453834061
1042,2779.37690365755
1043,8980.36372895283
1044,6235.24546392622
1045,2749.28335648718
1046,2598.45732550183
1047,5596.29090566065
1048,12568.6677416061
1049,2839.5639979983
1050,5545.40496099141
1051,10956.0562893824
1052,2845.58142347613
1053,5720.36266776632
1054,2779.37690365755
1055,2779.37690365755
1056,2774.97453834061
1057,5517.08775133057
1058,16061.0645563482
1059,5470.1881798405
1060,2779.37690365755
1061,5287.66012196853
1062,5754.69721432082
1063,6202.876571637
1064,2470.15543091654
1065,5996.08489854957
1066,2739.67109577286
1067,3200.6865640428
1068,19596.7958627378
1069,5419.97941500326
1070,2518.51999999998
1071,2566.88456908343
1072,6071.50983164115
1073,2421.79086183309
1074,5858.22378315795
1075,5482.69218799734
1076,16321.0715062339
1077,19293.4544212044
1078,4336.69581146392
1079,5197.37948045741
1080,5468.22140499078
1081,2839.5639979983
1082,2719.18980931681
1083,2373.42629274964
1084,6047.107144944
1085,9055.18058546044
1086,9607.49145889357
1087,5482.69218799734
1088,2779.37690365755
1089,2779.37690365755
1090,5482.69218799734
1091,5545.40496099141
1092,6047.107144944
1093,12687.9621784644
1094,5545.40496099141
1095,5582.5015523747
1096,5675.49405999073
1097,3110.40592253168
1098,2673.27266134882
1099,2845.58142347613
1100,5833.9003686509
1101,19076.7819629663
1102,5608.11773398548
1103,5921.68159895585
1104,10548.1830538047
1105,2839.5639979983
1106,2839.5639979983
1107,2869.65754516868
1108,5437.20558375638
1109,5545.40496099141
1110,5482.69218799734
1111,6202.876571637
1112,12655.3367249014
1113,12698.671216549
1114,6235.24546392622
1115,9753.52080513777
1116,2839.5639979983
1117,6467.52560329156
1118,4336.69581146392
1119,9684.59024744196
1120,2711.97827633377
1121,9607.49145889357
1122,16277.7370145863
1123,5197.37948045741
1124,16061.0645563482
1125,2659.00271497606
1126,2373.42629274964
1127,2774.97453834061
1128,4301.39236889616
1129,16061.0645563482
1130,2704.3676532051
1131,12657.6188099626
1132,16017.7300647005
1133,5858.22378315795
1134,2704.3676532051
1135,2916.18830861164
1136,2774.97453834061
1137,3163.31240658593
1138,5733.54327997363
1139,9419.35313991135
1140,15901.9277088564
1141,5858.22378315795
1142,5733.54327997363
1143,9891.3819205294
1144,5357.26664200919
1145,5451.86451534932
1146,5608.11773398548
1147,4195.48204119289
1148,2704.3676532051
1149,2689.09626214643
1150,5927.15434085376
1151,2719.18980931681
1152,5608.11773398548
1153,5498.31495216115
1154,2598.45732550183
1155,6309.1192946314
1156,12339.1372308972
1157,2566.88456908343
1158,5347.84721630928
1159,2719.18980931681
1160,5596.29090566065
1161,2779.37690365755
1162,9055.18058546044
1163,2951.4917511794
1164,9213.5868941206
1165,2839.5639979983
1166,2633.76076806959
1167,8995.28467048385
1168,5482.69218799734
1169,2779.37690365755
1170,2839.5639979983
